context_bad,question_bad,typo,multiple_ans,wrong_correct,no_answer,flan_wrong_uns,overinfers,assoc
,,,,,,,1,1
,,,,,1,,,1
,,,,,1,,,
,,,1,,,,,
,,,1,,,,,
,,,1,,,,,
,1,1,,,,,,
,,,1,,,,,
,,,,,1,,,
,,,,,,,,1
,,,,,,,1,
,,,,,,1,,
,,,,,1,,,
,,,,,,,,1
,1,,1,,,,,
,,,,,,,1,
,1,,,,,,,
,,,,,1,,,
,,,,,,,,1
,,,,1,,,,
1,,,,,,,,
,,,,,,1,,
,,,,1,,,,
,,,,,,,,1
,,,,,,,1,
,1,,,,,,,
,,,,1,,,,
,1,,,,,,,
,,,,1,,,,
,,,1,,,,,
,,,,,1,,,
,,,,1,,,,
,,,,,,,1,
,,,,,,1,,
1,,,,,,,1,
,,,,,,,,1
,,,,,1,,,
,,,1,,,,,
,1,,,,,,,
,,,,,,,1,
,,,,,,,,1
,1,,,,,,,
,,,1,,,,,
,,,,,,1,,
,,,,1,,,,
,,,,,,,1,
,,,,,,,1,
,,,,,,,1,
,,,,,,,1,
,,,,,,1,,
,,,,1,,,,
,,,,,1,,,
,,,1,,,,,
,1,,,,,,,
,,,,,,,1,
,,1,1,,,,,
,,1,,,,,1,
,,,,,,,1,
,,,1,,,,,
,,,,,1,,,
,,,,,1,,,
,,,,,,,1,
,,,1,,,,,
,,,1,,,,,
,,,,,,,1,
,,,1,,,,,
,,,,1,,,,
,,,,,,,1,
,,,,,,1,,
,,,,,,1,,
,,,1,,,,,
,,,,,,,,1
,,,,,,1,,
,,,,,,1,,
,,,,1,,,,
,,,1,,,,,
,,,1,,,,,
,,,1,,,,,
,,,1,,,,,
,,,1,,,,,
,,,,,1,,,
,1,,,,,,,
,,1,,1,,,,
,,,,,,,,1
,,,,,1,,,
,,,,,1,,,
,,,1,,,,,
,,,,,,,,1
,,,,,1,,,
,,,,,,,,1
,,,,,,,,1
,,,,,1,,,
,,,1,,,,,
,1,,,,,,,
,,,,,,,,1
,,,1,,,,,
,,,1,,,,,
,1,,,,1,,,
,,,1,,,,,
1,1,,,,1,,,
,,,,,,,,1
,,,1,,,,,
,,,1,,,,,
,,,1,,,,,
,,,,,,,,1
,,,,,,,,1
,,,,,,,1,
,,,,1,,,,
,1,,,,,,,
,,,,,,,1,
,1,,,,,,,
,,,,,,,1,
,,,,,,1,,
,,,,,,1,,
,,,1,,,,,
,,,,,1,,,
,,,1,,,,,
,,,,,,,1,
,,,,,,1,,
,,,,,1,,,
,,,,,,,1,
,,,,,1,,,
,,,1,,,,,
,,,,,1,,,
,,,,1,,,,
,,,,,,,,1
,,,1,,,,,
,,,,,,,1,
1,,,,1,,,,
,,,1,,,,,
,,,1,,,,,
,,,1,,,,,
,,1,,1,,,,
,,,,,,,,1
,,,,,,,1,
,,,,,,,1,
,,,,1,,,,
,,,,,,,,1
1,,,,,,1,,
,,,1,,,,,
,,,,,,,,1
,,,1,,,,1,
,,,,1,,,,
,,,,,,,1,
,1,,,,,,1,
,,,1,,,,,
,,,,,,,1,
,,,1,,,,,
,,,1,1,,,,
,,1,,,,,1,
,,,,,,,,1
,,,1,,,,,
,,1,,,,,1,
,,,,,,,,1
,,,1,,,,,
,,,1,,,,,
,,,,1,,,,
,,,,,,,1,
,,,1,,,,,
,,1,1,,,,,
,,,1,,,,,
,,,1,,,,,
1,,1,,,,,,
,,,1,,,,,
,,,,,,,1,
,,,,,,,1,
,,,,,,,,1
,,,1,,,,,
,,,1,,,,,
,,,1,,,,,
,,,1,,,,,
,,,1,,,,,
,,,,,1,,,
,,,,1,,,,
,,,,,,,1,1
,,,,1,,,,1
,,,,,,,,1
,,,1,,,,,
,,,1,,,,,
,,,,,,,,1
,,,1,,,,,
,,1,,,1,,,
,,,,,,,1,
,,,,,,,1,
,1,,1,,,,,
,1,,,,1,,,
,,,,,1,,,
,,,,1,,,,
,,,,,,,,1
1,,,1,,,,,
,,,,,1,,,
,1,,,,1,,,
,,,,,,,1,
,,,1,,,,,
,,,,,,,1,
,,,,,1,,,
,,,,,1,,,
,,,1,,,,,
,,,,,1,,,
,,,,,1,,,
,1,,,,1,,,
,,,1,,,,,
,,1,,,1,,,
,,,,,1,,,
,,,,,,,1,
,,,,,,,1,
,,,1,,,,,
,,,,,,1,,
,1,,,,1,,,
,,,,,,,1,
,,,,,,,,1
,,,,,,,1,
,,,,,,,1,
,,,,,,,1,
,,,,,,,1,1
,,1,,,1,,,
,,,,,,,,1
,,,,,1,,,
,,,,,,,1,
,,,,,,,,1
,,,,,,,1,
1,,,,,1,,,
,,,1,,,,,
,,,,,1,,,
,,,1,,,,,
,,,,,1,,,
,,,1,,,,,
,,,,1,,,,
,,,,,,,1,
,,,,,,,1,
